Date,HE,MWh
12/24/2018,8,13636.4
12/24/2018,9,14299.56
12/24/2018,10,14558
12/24/2018,11,14788.8
12/24/2018,12,14975.54
12/24/2018,13,14884.6
12/24/2018,14,14759.34
12/24/2018,15,14760.73
12/24/2018,16,14980.92
12/24/2018,17,15673.89
12/24/2018,18,15845.12
12/24/2018,19,15178.06
12/24/2018,20,14542.29
12/24/2018,21,14167.92
12/24/2018,22,14016.64
12/24/2018,23,13213.13
12/24/2018,24,12414.08
12/25/2018,1,11930.02
12/25/2018,2,11756.8
12/25/2018,3,11902.53
12/25/2018,4,11963.44
12/25/2018,5,12087.03
12/25/2018,6,12166.04
12/25/2018,7,12543.87
12/25/2018,8,13225.75
12/25/2018,9,13377.91
12/25/2018,10,12967.06
12/25/2018,11,12567.17
12/25/2018,12,12331.09
12/25/2018,13,12227.44
12/25/2018,14,12335.49
12/25/2018,15,12749.62
12/25/2018,16,13041.17
12/25/2018,17,13985.02
12/25/2018,18,14625.98
12/25/2018,19,14588.42
12/25/2018,20,14518.01
12/25/2018,21,14367.96
12/25/2018,22,13980.25
12/25/2018,23,13257.7
12/25/2018,24,12486.01
12/26/2018,1,12133.14
12/26/2018,2,11909.69
12/26/2018,3,11953.07
12/26/2018,4,12010.88
12/26/2018,5,12329.07
12/26/2018,6,12736.38
12/26/2018,7,13832.38
12/26/2018,8,14775.93
12/26/2018,9,15112.88
12/26/2018,10,14973.35
12/26/2018,11,14689.75
12/26/2018,12,14371.19
12/26/2018,13,14205.45
12/26/2018,14,14429.93
12/26/2018,15,14850.48
12/26/2018,16,15390.1
12/26/2018,17,16421.31
12/26/2018,18,17203.8
12/26/2018,19,17000.19
12/26/2018,20,16543.16
12/26/2018,21,15932.92
12/26/2018,22,15056.69
12/26/2018,23,13930.75
12/26/2018,24,13053.15
12/27/2018,1,12570.93
12/27/2018,2,12447.04
12/27/2018,3,12411.61
12/27/2018,4,12383.52
12/27/2018,5,12408.81
12/27/2018,6,12952.92
12/27/2018,7,13829.58
12/27/2018,8,14652.57
12/27/2018,9,14896.91
12/27/2018,10,14732.07
12/27/2018,11,14410.11
12/27/2018,12,14111.15
12/27/2018,13,13948.75
12/27/2018,14,14209.97
12/27/2018,15,14431.43
12/27/2018,16,15028.57
12/27/2018,17,16163.63
12/27/2018,18,17031.18
12/27/2018,19,16860.14
12/27/2018,20,16435.79
12/27/2018,21,15853.69
12/27/2018,22,14981.85
12/27/2018,23,13819.67
12/27/2018,24,12706.86
12/28/2018,1,11907.15
12/28/2018,2,11646.36
12/28/2018,3,11405.73
12/28/2018,4,11576.7
12/28/2018,5,11662.24
12/28/2018,6,12085.94
12/28/2018,7,13167.35
12/28/2018,8,14191.71
12/28/2018,9,14892.7
12/28/2018,10,15402.56
12/28/2018,11,15709.24
12/28/2018,12,15799.27
12/28/2018,13,15681.85
12/28/2018,14,15530.89
12/28/2018,15,15313.19
12/28/2018,16,15267.05
12/28/2018,17,15818.34
12/28/2018,18,16097.94
12/28/2018,19,15655.03
12/28/2018,20,15041.93
12/28/2018,21,14415.27
12/28/2018,22,13616.13
12/28/2018,23,12775.88
12/28/2018,24,11822.18
12/29/2018,1,11291.08
12/29/2018,2,10833.76
12/29/2018,3,10823.16
12/29/2018,4,10705.29
12/29/2018,5,10779.38
12/29/2018,6,10551.83
12/29/2018,7,10930.15
12/29/2018,8,11530.15
12/29/2018,9,12076.71
12/29/2018,10,12161.57
12/29/2018,11,12013.76
12/29/2018,12,12005.61
12/29/2018,13,12162.93
12/29/2018,14,12376.39
12/29/2018,15,12640.28
12/29/2018,16,13104.86
12/29/2018,17,14150.88
12/29/2018,18,15007.98
12/29/2018,19,14952
12/29/2018,20,14639.92
12/29/2018,21,14269.4
12/29/2018,22,13725.98
12/29/2018,23,12980.22
12/29/2018,24,12147.16
12/30/2018,1,11521.82
12/30/2018,2,11127.23
12/30/2018,3,11171.84
12/30/2018,4,11143.73
12/30/2018,5,11169.28
12/30/2018,6,11332.27
12/30/2018,7,11845.87
12/30/2018,8,12483.92
12/30/2018,9,13212.88
12/30/2018,10,13594.73
12/30/2018,11,13298.99
12/30/2018,12,12942.53
12/30/2018,13,12883.48
12/30/2018,14,12982.67
12/30/2018,15,13371.33
12/30/2018,16,13944.13
12/30/2018,17,15146.48
12/30/2018,18,16086.68
12/30/2018,19,15994.3
12/30/2018,20,15568.58
12/30/2018,21,15072.6
12/30/2018,22,14327.89
12/30/2018,23,13371.92
12/30/2018,24,12417.66
12/31/2018,1,12063.4
12/31/2018,2,11829.2
12/31/2018,3,11888.32
12/31/2018,4,11879.36
12/31/2018,5,12148.98
12/31/2018,6,12390.45
12/31/2018,7,13126.28
12/31/2018,8,13916.4
12/31/2018,9,14193.93
12/31/2018,10,14130.27
12/31/2018,11,14092.56
12/31/2018,12,14067.63
12/31/2018,13,14153.84
12/31/2018,14,14312.26
12/31/2018,15,14438.27
12/31/2018,16,14729.03
12/31/2018,17,15630.47
12/31/2018,18,16148.77
12/31/2018,19,15594.6
12/31/2018,20,14829.33
12/31/2018,21,14118.9
12/31/2018,22,13481.26
12/31/2018,23,12795.1
12/31/2018,24,12131.76
1/1/2019,1,11613.92
1/1/2019,2,11496.66
1/1/2019,3,11368.76
1/1/2019,4,11270.26
1/1/2019,5,11309.61
1/1/2019,6,11516.12
1/1/2019,7,11848.86
1/1/2019,8,11538.77
1/1/2019,9,11729.35
1/1/2019,10,12187.15
1/1/2019,11,12331.3
1/1/2019,12,12149.33
1/1/2019,13,12082.4
1/1/2019,14,12153.63
1/1/2019,15,12349.04
1/1/2019,16,13037.34
1/1/2019,17,14315.5
1/1/2019,18,15392.02
1/1/2019,19,15286.67
1/1/2019,20,14862.13
1/1/2019,21,14304.63
1/1/2019,22,13502.97
1/1/2019,23,12503.58
1/1/2019,24,11894.04
1/2/2019,1,11614.05
1/2/2019,2,11124.13
